	Weight	Dry_To_Fresh_Weight_Ratio_100	Sepal_Mm	Petal_Mm	Pericarp_And_Sep_Area_Ratio	Columella_Area	Locule_Number	Pericarp_Area	Pericarp_Max_Cell_Size	Pericarp_And_Sep_Area	Pericarp_Cell_Number_Per_Mm	Pericarp_Thickness	Sepal_To_Petal_Ratio	Pericarp_Area_Ratio	Pericarp_Cell_Number
BGV006478	-2.03185166811756	1.76055793854814	-1.92509985211144	-0.637043690078756	0.358799317958353	-1.36588671774433	-2.74448426086242	-1.15422571318814	NA	-1.09415877076674	NA	NA	-1.57846931850513	0.885668516683683	NA
BGV006753	0.0226521925669681	0.693570168473567	0.267405939935071	1.04682407852197	1.90082574485089	0.128075566396302	-0.768105949776593	0.535424014586856	0.556835609770804	0.535424014586856	-0.333005098197297	0.349507855309863	0.0680031427439208	1.49944602270384	0.382806348430005
BGV006767	-0.143947193535562	0.283089234620174	1.02105387256369	1.07330892939351	0.192776819948932	0.0319369986870564	-0.0760316231203884	-0.192776819948932	-0.485489452829721	-0.160342267446307	0.187929806225951	-0.0155697487574936	0.878784610096489	-0.274839577018141	0.538746024376497
BGV006768	0.693570168473567	-1.69349415876336	0.693570168473567	1.8366264474114	1.73465152202038	0.517086837682098	-0.324638684752175	1.06555642985282	0.903124867531437	1.01082141652608	-1.34037264781591	0.926786747461685	0.330577220059425	2.14632405453188	0.349507855309863
BGV006775	-0.995944507566844	0.712906503637812	-0.478168724940223	-0.478168724940223	-0.730690609131762	-0.553943031162086	-0.405855896993453	-0.773053961585312	-0.267843382677015	-0.794762630823007	0.650254332726559	-0.36610635680057	-0.461307070051608	-0.445371983483734	0.093550995786424
BGV006777	0.189887113917251	0.0528752238203454	0.143947193535562	0.835183394394031	1.288844277586	-0.241823153406356	0.340694827087795	0.324944693878104	1.10981038022363	0.341823030741537	-0.903124867531437	0.669611329235736	0.0377593966194055	1.25304018435762	0.109200481691432
BGV006779	0.58248363142221	-0.752405518537939	0.564683356633645	1.52802623608251	1.25304018435762	0.46307291711285	-0.4558680741992	0.909554838541739	2.15635570519183	0.839348302319338	-1.16941610357907	1.37962588480448	0.251788147351179	1.81149867317303	1.6183366697779
BGV006792	0.7325131463131	-2.03185166811756	0.362648507275064	1.69349415876336	1.81149867317303	0.29145855491042	0.167894004788105	1.03780025665793	1.67891966278069	1.09415877076674	-0.975741569736452	1.23349456196869	0.0528752238203454	1.73465152202038	1.08143624642783
BGV006806	-0.128705906664142	-0.128705906664142	-0.174534037589108	0.618653607602669	0.839348302319338	-0.46307291711285	-0.489846639999726	-0.111994174639077	0.450744212615359	-0.111994174639077	0.0623167887067586	0.316592542654162	-0.564683356633645	1.15422571318814	1.20083898881393
BGV006825	1.04682407852197	-0.712906503637812	0.378823039706058	0.330577220059425	0.689599852967874	1.18588228541607	0.967421566101701	1.21877412128339	1.51238958606768	1.18588228541607	-1.6183366697779	1.20083898881393	0.314670232151404	0.535424014586856	0.59357705541884
BGV006828	0.813969104178664	-0.529605410657402	0.346568302422109	1.15769640438575	0.46307291711285	1.01082141652608	1.09680356209351	0.709995371569857	-0.156325575894448	0.958958568083587	0.399613795672355	0.203800609187207	0.083146641375239	-1.36588671774433	1.37962588480448
BGV006852	1.02105387256369	-1.32026370827448	0.924124138853624	-0.878784610096489	1.09415877076674	1.288844277586	1.12495982108462	1.288844277586	0.879958138385173	1.32638146274556	-0.791638607743375	0.857254320221178	1.10056887678512	0	0.926786747461685
